Id,X,Y,Z,dX,dY,dZ,Geological Model B
2995,892485,27920280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2996,893485,27920280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2997,894485,27920280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2998,895485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2999,896485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3000,897485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3001,898485,27920280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3002,899485,27920280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3003,900485,27920280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3004,901485,27920280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3005,902485,27920280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3008,873485,27921280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3009,874485,27921280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3010,875485,27921280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3011,876485,27921280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3012,877485,27921280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3013,878485,27921280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3014,879485,27921280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3015,880485,27921280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3016,881485,27921280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3017,882485,27921280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3018,883485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3019,884485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3020,885485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3021,886485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3022,887485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3023,888485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3024,889485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3025,890485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3026,891485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3027,892485,27921280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3028,893485,27921280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3029,894485,27921280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3030,895485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3031,896485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
