1_x,
Time,Acceleration
TIME,ACCEL
2.485,-6.8453359
2.49,-6.298419029
2.495,-5.646080671
2.5,-4.993153914
2.505,-4.254026704
2.51,-3.529609468
2.515,-2.789697726
2.52,-2.065084357
2.525,-1.361555286
2.53,-0.691790511
2.535,-0.083493818
2.54,0.486164674
2.545,0.972692194
2.55,1.416864792
2.555,1.763922136
2.56,2.069791549
2.565,2.283380386
2.57,2.444993978
2.575,2.526291107
2.58,2.567871303
2.585,2.546787005
2.59,2.490692967
2.595,2.397725925
2.6,2.279457726
2.605,2.145891153
2.61,1.987317623
2.615,1.833745484
2.62,1.667718899
2.625,1.518952019
2.63,1.360280422
2.635,1.218574329
2.64,1.085596155
2.645,0.991844581
2.65,0.918088766
2.655,0.88830597
2.66,0.886452513
2.665,0.92583602
2.67,0.999003436
2.675,1.10619012
2.68,1.250445942
2.685,1.418826122
2.69,1.624177373
2.695,1.841100471
2.7,2.10058443
2.705,2.364873648
2.71,2.65760215
2.715,2.933463215
2.72,3.228447247
2.725,3.491559666
2.73,3.76212514
2.735,3.977479174
2.74,4.18351689
2.745,4.336402564
2.75,4.479089321
2.755,4.563916844
2.76,4.630602064
2.765,4.638643517
2.77,4.625404539
2.775,4.551658531
2.78,4.444569913
2.785,4.277170398
2.79,4.071917213
2.795,3.81115839
2.8,3.511859432
2.805,3.165194354
2.81,2.785284733
2.815,2.374974497
2.82,1.937892107
2.825,1.488257204
2.83,1.024598792
2.835,0.560695214
2.84,0.10020435
2.845,-0.344291868
2.85,-0.776470934
2.855,-1.173856005
2.86,-1.548568102
2.865,-1.877483143
2.87,-2.168446448
2.875,-2.401060186
2.88,-2.583660009
2.885,-2.701143676
2.89,-2.766259832
2.895,-2.765867566
2.9,-2.709675462
2.905,-2.591407263
2.91,-2.419594755
2.915,-2.193551472
2.92,-1.919749804
2.925,-1.602014344
2.93,-1.248288479
2.935,-0.864309098
2.94,-0.457754809
2.945,-0.034849892
2.95,0.392364067
2.955,0.820708732
2.96,1.237697297
2.965,1.638789282
2.97,2.010951649
2.975,2.363010384
2.98,2.672998591
2.985,2.953959113
2.99,3.178727531
2.995,3.369074608
3,3.492932597
3.005,3.575994923
3.01,3.588547435
3.015,3.561579147
3.02,3.478516822
3.025,3.373193401
3.03,3.204322888
3.035,2.995833509
3.04,2.732524956
3.045,2.431853067
3.05,2.090581647
3.055,1.720870942
3.06,1.32811461
3.065,0.918873298
3.07,0.507151003
3.075,0.073777389
3.08,-0.343389656
3.085,-0.756337881
3.09,-1.13364874
3.095,-1.493846995
3.1,-1.802854536
3.105,-2.088718384
3.11,-2.312898403
3.115,-2.50883527
3.12,-2.634850722
3.125,-2.733799821
3.13,-2.759983576
3.135,-2.774497418
3.14,-2.73605535
3.145,-2.691925425
3.15,-2.584934874
3.155,-2.47745399
3.16,-2.317605595
3.165,-2.162464392
3.17,-1.970155985
3.175,-1.80246227
3.18,-1.613684258
3.185,-1.457758523
3.19,-1.295066199
3.195,-1.16895268
3.2,-1.030875048
3.205,-0.916186276
3.21,-0.826651562
3.215,-0.783365009
3.22,-0.830633062
3.225,-0.911047592
3.23,-1.048134752
3.235,-1.190233111
3.24,-1.382345384
3.245,-1.562591611
3.25,-1.794028551
3.255,-2.005361859
3.26,-2.262590288
3.265,-2.476277192
3.27,-2.728308097
3.275,-2.92826569
3.28,-3.123319959
3.285,-3.222661323
3.29,-3.339066259
3.295,-3.395846762
3.3,-3.467141108
3.305,-3.49538426
3.31,-3.529217202
3.315,-3.515389826
3.32,-3.455569261
3.325,-3.372899201
3.33,-3.282285755
3.335,-3.178825598
3.34,-3.055359874
3.345,-2.909044656
3.35,-2.702222408
3.355,-2.492262031
3.36,-2.256117899
3.365,-2.032918545
3.37,-1.790400091
3.375,-1.55925735
3.38,-1.311639438
3.385,-1.085694222
3.39,-0.881755128
3.395,-0.709373834
3.4,-0.526872078
3.405,-0.344399741
3.41,-0.156043415
3.415,0.034216383
3.42,0.216795612
3.425,0.389000386
3.43,0.535599996
3.435,0.69208471
3.44,0.834516495
3.445,0.990373584
3.45,1.14178826
3.455,1.299773391
3.46,1.442852415
3.465,1.561610946
3.47,1.651930193
3.475,1.73410992
3.48,1.81226892
3.485,1.891604719
3.49,1.974470911
3.495,2.046745922
3.5,2.118922866
3.505,2.167171584
3.51,2.193453406
3.515,2.188648147
3.52,2.18129316
3.525,2.147558284
3.53,2.11431374
3.535,2.05155118
3.54,1.992319014
3.545,1.909550888
3.55,1.83609908
3.555,1.751369624
3.56,1.720282543
3.565,1.687038
3.57,1.67723135
3.575,1.651930193
3.58,1.638985415
3.585,1.617704984
3.59,1.606427337
3.595,1.582891377
3.6,1.568377535
3.605,1.542684112
3.61,1.524345676
3.615,1.488845603
3.62,1.449913203
3.625,1.38273765
3.63,1.322524819
3.635,1.24966141
3.64,1.175817335
3.645,1.096775736
3.65,1.023323928
3.655,0.948920874
3.66,0.871301239
3.665,0.795172215
3.67,0.720523995
3.675,0.652867917
3.68,0.582652303
3.685,0.533020847
3.69,0.488410397
3.695,0.479564798
3.7,0.471591992
3.705,0.496638176
3.71,0.513672327
3.715,0.564823813
3.72,0.60689444
3.725,0.682150574
3.73,0.746099739
3.735,0.838782388
3.74,0.918686972
3.745,1.019107068
3.75,1.094814406
3.755,1.181309059
3.76,1.254172469
3.765,1.326643612
3.77,1.383522182
3.775,1.430496036
3.78,1.465701909
3.785,1.48472681
3.79,1.493062463
3.795,1.481882882
3.8,1.462269582
3.805,1.423042982
3.81,1.374696197
3.815,1.322524819
3.82,1.272118638
3.825,1.211415475
3.83,1.146397385
3.835,1.076672104
3.84,1.00420096
3.845,0.936760628
3.85,0.8708011
3.855,0.805979144
3.86,0.739146824
3.865,0.673246136
3.87,0.606119617
3.875,0.54340609
3.88,0.48436025
3.885,0.425736096
3.89,0.36890656
3.895,0.305712507
3.9,0.244558238
