2_y,
Time,Acceleration
TIME,ACCEL
3.535,0.678728053
3.54,0.519095404
3.545,0.325198321
3.55,0.129938113
3.555,-0.073399833
3.56,-0.289560955
3.565,-0.493068555
3.57,-0.697292042
3.575,-0.851835039
3.58,-1.005181625
3.585,-1.091970478
3.59,-1.181603259
3.595,-1.189644712
3.6,-1.201118492
3.605,-1.125116955
3.61,-1.051861279
3.615,-0.90227064
3.62,-0.756161362
3.625,-0.551182763
3.63,-0.355785262
3.635,-0.130114632
3.64,0.10178322
3.645,0.328444322
3.65,0.552879314
3.655,0.739372377
3.66,0.921089601
3.665,1.02410846
3.67,1.12580342
3.675,1.124724689
3.68,1.115212238
3.685,0.981939865
3.69,0.856973724
3.695,0.625477944
3.7,0.397041839
3.705,0.067733551
3.71,-0.260778437
3.715,-0.663969045
3.72,-1.062942794
3.725,-1.502869113
3.73,-1.941422501
3.735,-2.378504891
3.74,-2.810487824
3.745,-3.199811829
3.75,-3.586193839
3.755,-3.892945851
3.76,-4.192244809
3.765,-4.38190542
3.77,-4.567153038
3.775,-4.623541276
3.78,-4.682381176
3.785,-4.612852027
3.79,-4.542930613
3.795,-4.345915014
3.8,-4.147624551
3.805,-3.838518943
3.81,-3.527059739
3.815,-3.127634885
3.82,-2.726444833
3.825,-2.263472887
3.83,-1.798931876
3.835,-1.301244389
3.84,-0.801821124
3.845,-0.295631271
3.85,0.215559974
3.855,0.710040687
3.86,1.206414083
3.865,1.666345968
3.87,2.12804305
3.875,2.537862954
3.88,2.949448054
3.885,3.297682196
3.89,3.644739539
3.895,3.919227673
3.9,4.195186804
3.905,4.396517328
3.91,4.598828518
3.915,4.726413034
3.92,4.854978216
3.925,4.908816724
3.93,4.962851366
3.935,4.951083386
3.94,4.940394137
3.945,4.87194372
3.95,4.803689436
3.955,4.6875787
3.96,4.571566031
3.965,4.419562956
3.97,4.267363748
3.975,4.090844048
3.98,3.915010813
3.985,3.724075338
3.99,3.535493458
3.995,3.339458525
4,3.14989598
4.005,2.954155246
4.01,2.774889684
4.015,2.591603396
4.02,2.407532575
4.025,2.221990757
4.03,2.035566341
4.035,1.845807663
4.04,1.654774121
4.045,1.458346922
4.05,1.260644858
4.055,1.056176205
4.06,0.850089455
4.065,0.637746063
4.07,0.423578633
4.075,0.212176679
4.08,-0.002656523
4.085,-0.201310911
4.09,-0.401297925
4.095,-0.593831884
4.1,-0.787817228
4.105,-0.966916077
4.11,-1.147574183
4.115,-1.307618711
4.12,-1.469232303
4.125,-1.599562682
4.13,-1.731560191
4.135,-1.826978895
4.14,-1.924162797
4.145,-1.977510973
4.15,-2.032526279
4.155,-2.039979333
4.16,-2.060769431
4.165,-2.032035947
4.17,-2.004675393
4.175,-1.929752587
4.18,-1.859438907
4.185,-1.737346114
4.19,-1.617508851
4.195,-1.459719853
4.2,-1.303303785
4.205,-1.116781302
4.21,-0.931621943
4.215,-0.724887955
4.22,-0.518379519
4.225,-0.298534039
4.23,-0.080111505
4.235,0.143343803
4.24,0.36653335
4.245,0.583691808
4.25,0.803596128
4.255,1.010771416
